,Destination,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central
Origin,,,,,,,,,,
East North Central,,0.122211007,0.077235355,0.136053608,0.060988137,0.158906324,0.183199145,0.092874724,0.100382463,0.068149237
East South Central,,0.119012626,0.086996492,0.128866547,0.075430832,0.145134363,0.162427323,0.098129451,0.103473872,0.080528495
Middle Atlantic,,0.12379067,0.072414385,0.139603256,0.053854973,0.165708217,0.193458229,0.090279444,0.098855634,0.062035192
Mountain,,0.11826769,0.089269958,0.127192609,0.07879468,0.141926735,0.157589359,0.09935333,0.104193891,0.083411748
New England,,0.127684499,0.060530815,0.148353051,0.036271901,0.182474714,0.218746615,0.083882143,0.095092039,0.046964225
Pacific,,0.13571703,0.036016346,0.166402893,0,0.217062111,0.27091371,0.070685232,0.087328165,0.015874513
South Atlantic,,0.11989249,0.084311234,0.130843684,0.071457693,0.148922985,0.168141585,0.096683892,0.102623435,0.077123001
West North Central,,0.120388417,0.082797716,0.131958077,0.069218274,0.151058403,0.171362369,0.095869118,0.102144095,0.07520353
West South Central,,0.118577965,0.08832303,0.127889825,0.077393595,0.143262752,0.159604432,0.098843569,0.103893994,0.082210837
